"id","pertanyaanId","jawaban","createdAt","cosine","score"
"1","1","PENS adalah singkatan dari Politeknik Elektronika Negeri Surabaya. PENS adalah institusi pendidikan tinggi dengan bidang keahlian yang meliputi Teknik Informatika, Teknik Elektro Industri, Te","2024-05-17 07:56:22.897","1","2.1"
"2","1","PENS adalah singkatan dari Politeknik Elektronika Negeri Surabaya. PENS adalah institusi pendidikan tinggi dengan bidang keahlian yang meliputi Teknik Informatika, Teknik Elektro Industri, Te","2024-05-17 07:56:43.179","1","2.1"
"3","2","Kemahasiswaan PENS adalah unit departemen yang bertanggung jawab mulai dari  pendaftaran dan administrasi mahasiswa, bimbingan akademis, Kegiatan ektrakurikuler, kesejahteraan mahasiswa, peng","2024-05-17 07:57:08.095","0.8230198318216847","9.261"
"4","3","Kemahasiswaan PENS adalah unit departemen yang bertanggung jawab mulai dari  pendaftaran dan administrasi mahasiswa, bimbingan akademis, Kegiatan ektrakurikuler, kesejahteraan mahasiswa, peng","2024-05-17 07:57:38.981","0.8230198318216847","1"
"5","4","PENS adalah singkatan dari Politeknik Elektronika Negeri Surabaya. PENS adalah institusi pendidikan tinggi dengan bidang keahlian yang meliputi Teknik Informatika, Teknik Elektro Industri, Te","2024-05-17 07:59:38.144","1","0.44099999999999984"
"id","pertanyaan","createdAt"
"1","apa itu pens","2024-05-17 07:56:22.555"
"2","apa itu pens","2024-05-17 07:56:43.097"
"3","apa itu kemahasiswaan","2024-05-17 07:57:08.080"
"4","apa itu kemahasiswaan","2024-05-17 07:57:38.966"
"5","apa itu pens","2024-05-17 07:59:38.056"
